,cities
1148,Lagoa Grande - MG
1149,Lagoa Grande - PE
1150,Lagoa Grande Do Maranhao - MA
1151,Lagoa Santa - MG
1152,Lagoa Seca - PB
1153,Lagoa Vermelha - RS
1154,Lago Da Pedra - MA
1155,Lagoinha - SP
1156,Laguna - SC
1157,Lajeado - RS
1158,Lajeado - TO
1159,Lajedo - PE
1160,Lajinha - MG
1161,Lambari - MG
1162,Lapa - PR
1163,Lapao - BA
1164,Laranjal - MG
1165,Laranjal Paulista - SP
1166,Laranjeiras Do Sul - PR
1167,Lauro Muller - SC
1168,Lavras - MG
1169,Lavras Da Mangabeira - CE
1170,Lebon Regis - SC
1171,Leme - SP
1172,Lencois - BA
1173,Leopoldina - MG
1174,Leopolis - PR
1175,Liberdade - MG
1176,Lidianopolis - PR
1177,Limeira - SP
1178,Limoeiro - PE
1179,Limoeiro Do Norte - CE
1180,Lindoia - SP
1181,Linhares - ES
1182,Lins - SP
1183,Livramento - PB
1184,Livramento De Nossa Senhora - BA
1185,Loanda - PR
1186,Lobato - PR
1187,Logradouro - PB
1188,Londrina - PR
1189,Lontra - MG
1190,Lorena - SP
1191,Loreto - MA
1192,Lourdes - SP
1193,Lucas Do Rio Verde - MT
1194,Lucelia - SP
1195,Lucena - PB
1196,Luis Antonio - SP
1197,Luisburgo - MG
1198,Luis Correia - PI
1199,Luis Eduardo Magalhaes - BA
1200,Luminarias - MG
1201,Lunardelli - PR
1202,Lupionopolis - PR
1203,Luz - MG
1204,Luzerna - SC
1205,Luziania - GO
1206,Macae - RJ
1207,Macaiba - RN
1208,Macajuba - BA
1209,Macaubas - BA
1210,Maceio - AL
1211,Machado - MG
1212,Macuco - RJ
1213,Madalena - CE
1214,Madre De Deus De Minas - MG
1215,Mae Do Rio - PA
1216,Mafra - SC
1217,Magda - SP
1218,Mage - RJ
1219,Mairi - BA
1220,Mairipora - SP
1221,Mairipotaba - GO
1222,Malacacheta - MG
1223,Mallet - PR
1224,Malta - PB
1225,Mamanguape - PB
1226,Mambore - PR
1227,Manacapuru - AM
1228,Manari - PE
1229,Manaus - AM
1230,Mandaguacu - PR
1231,Mandaguari - PR
1232,Mandirituba - PR
1233,Mangaratiba - RJ
1234,Mangueirinha - PR
1235,Manhuacu - MG
1236,Manhumirim - MG
1237,Manoel Ribas - PR
1238,Mantena - MG
1239,Mantenopolis - ES
1240,Maraba - PA
1241,Maracacume - MA
1242,Maracaju - MS
1243,Maracas - BA
1244,Maragogi - AL
1245,Maranguape - CE
1246,Maranhaozinho - MA
1247,Marapanim - PA
1248,Mara Rosa - GO
1249,Marataizes - ES
1250,Marau - RS
1251,Maravilha - SC
1252,Marcacao - PB
1253,Marco - CE
1254,Marcolandia - PI
1255,Marcos Parente - PI
1256,Mar De Espanha - MG
1257,Marechal Candido Rondon - PR
1258,Marechal Floriano - ES
1259,Mari - PB
1260,Maria Da Fe - MG
1261,Marialva - PR
1262,Mariana - MG
1263,Marianopolis Do Tocantins - TO
1264,Marilac - MG
1265,Marilandia - ES
1266,Marilandia Do Sul - PR
1267,Marilia - SP
1268,Mariluz - PR
1269,Maringa - PR
1270,Mariopolis - PR
1271,Maripa - PR
1272,Marituba - PA
1273,Marizopolis - PB
1274,Marmeleiro - PR
1275,Marmelopolis - MG
1276,Martinho Campos - MG
1277,Martinopole - CE
1278,Martinopolis - SP
1279,Martins Soares - MG
1280,Marzagao - GO
1281,Massape - CE
1282,Massaranduba - SC
1283,Matao - SP
1284,Mataraca - PB
1285,Matelandia - PR
1286,Materlandia - MG
1287,Mateus Leme - MG
1288,Matias Barbosa - MG
1289,Matias Olimpio - PI
1290,Matinha - MA
1291,Matinhos - PR
1292,Matipo - MG
1293,Matoes - MA
1294,Matozinhos - MG
1295,Matrincha - GO
1296,Matupa - MT
1297,Matureia - PB
1298,Matutina - MG
1299,Maua - SP
1300,Maua Da Serra - PR
1301,Maurilandia - GO
1302,Mauriti - CE
1303,Medeiros Neto - BA
1304,Medianeira - PR
1305,Medicilandia - PA
1306,Medina - MG
1307,Meleiro - SC
1308,Mendes - RJ
1309,Mendes Pimentel - MG
1310,Mercedes - PR
1311,Merces - MG
1312,Mesquita - MG
1313,Messias - AL
1314,Miguel Calmon - BA
1315,Miguelopolis - SP
1316,Miguel Pereira - RJ
1317,Milagres - BA
1318,Milha - CE
1319,Mimoso Do Sul - ES
1320,Minacu - GO
1321,Minas Novas - MG
1322,Mineiros - GO
1323,Mirabela - MG
1324,Miracatu - SP
1325,Miracema - RJ
1326,Miracema Do Tocantins - TO
1327,Miradouro - MG
1328,Mira Estrela - SP
1329,Mirai - MG
1330,Miraima - CE
1331,Miranda - MS
1332,Miranda Do Norte - MA
1333,Mirangaba - BA
1334,Miranorte - TO
1335,Miraselva - PR
1336,Mirassol - SP
1337,Missal - PR
1338,Missao Velha - CE
1339,Mococa - SP
1340,Modelo - SC
1341,Moeda - MG
1342,Mogi Das Cruzes - SP
1343,Mogi Guacu - SP
1344,Mogi Mirim - SP
1345,Moju - PA
1346,Mombaca - CE
1347,Moncao - MA
1348,Mondai - SC
1349,Mongagua - SP
1350,Monjolos - MG
1351,Monsenhor Gil - PI
1352,Monsenhor Tabosa - CE
1353,Montanha - ES
1354,Monte Alegre - PA
1355,Monte Alegre De Goias - GO
1356,Monte Alegre De Minas - MG
1357,Monte Alegre Do Piaui - PI
1358,Monte Alegre Do Sul - SP
1359,Monte Alto - SP
1360,Monte Aprazivel - SP
1361,Monte Azul Paulista - SP
1362,Monte Belo - MG
1363,Monte Carlo - SC
1364,Monte Carmelo - MG
1365,Monte Castelo - SP
1366,Monteiro - PB
1367,Monte Mor - SP
1368,Montenegro - RS
1369,Monte Negro - RO
1370,Monte Santo - BA
1371,Monte Santo De Minas - MG
1372,Montes Claros - MG
1373,Montes Claros De Goias - GO
1374,Monte Siao - MG
1375,Montividiu - GO
1376,Montividiu Do Norte - GO
1377,Morada Nova - CE
1378,Moraujo - CE
1379,Moreira Sales - PR
1380,Morretes - PR
1381,Morrinhos - GO
1382,Morro Agudo - SP
1383,Morro Agudo De Goias - GO
1384,Morro Do Chapeu - BA
1385,Morro Do Pilar - MG
1386,Morros - MA
1387,Morungaba - SP
1388,Mossamedes - GO
1389,Mossoro - RN
1390,Mostardas - RS
1391,Mozarlandia - GO
1392,Mucajai - RR
1393,Mucambo - CE
1394,Mucuge - BA
1395,Mucuri - BA
1396,Mucurici - ES
1397,Mulungu - CE
1398,Mulungu - PB
1399,Mundo Novo - BA
1400,Mundo Novo - GO
1401,Mundo Novo - MS
1402,Munhoz - MG
1403,Munhoz De Melo - PR
1404,Muniz Freire - ES
1405,Muqui - ES
1406,Muriae - MG
1407,Murici - AL
1408,Mutuipe - BA
1409,Mutunopolis - GO
1410,Muzambinho - MG
1411,Nacip Raydan - MG
1412,Nantes - SP
1413,Nanuque - MG
1414,Narandiba - SP
1415,Natal - RN
1416,Natercia - MG
1417,Natividade - TO
1418,Navegantes - SC
1419,Navirai - MS
1420,Nazare - TO
1421,Nazare Do Piaui - PI
1422,Nazareno - MG
1423,Nazare Paulista - SP
1424,Nazario - GO
1425,Nepomuceno - MG
1426,Neropolis - GO
1427,Nhandeara - SP
1428,Nilo Pecanha - BA
1429,Nilopolis - RJ
1430,Niteroi - RJ
1431,Nobres - MT
1432,Nonoai - RS
1433,Normandia - RR
1434,Nortelandia - MT
1435,Nossa Senhora Da Gloria - SE
1436,Nossa Senhora Das Dores - SE
1437,Nossa Senhora Das Gracas - PR
1438,Nova Alvorada Do Sul - MS
1439,Nova Andradina - MS
1440,Nova Aurora - GO
1441,Nova Aurora - PR
1442,Nova Canaa - BA
1443,Nova Crixas - GO
1444,Nova Esperanca - PR
1445,Nova Esperanca Do Sudoeste - PR
1446,Nova Europa - SP
1447,Nova Fatima - BA
1448,Nova Fatima - PR
1449,Nova Floresta - PB
1450,Nova Friburgo - RJ
1451,Nova Granada - SP
1452,Nova Iguacu - RJ
1453,Nova Ipixuna - PA
1454,Nova Laranjeiras - PR
1455,Nova Londrina - PR
1456,Nova Mamore - RO
1457,Nova Mutum - MT
1458,Nova Odessa - SP
1459,Nova Olimpia - MT
1460,Nova Olinda - TO
1461,Nova Ponte - MG
1462,Nova Prata - RS
1463,Nova Prata Do Iguacu - PR
1464,Nova Rosalandia - TO
1465,Nova Russas - CE
1466,Nova Santa Helena - MT
1467,Nova Serrana - MG
1468,Nova Trento - SC
1469,Nova Venecia - ES
1470,Nova Vicosa - BA
1471,Nova Xavantina - MT
1472,Novo Airao - AM
1473,Novo Brasil - GO
1474,Novo Cruzeiro - MG
1475,Novo Hamburgo - RS
1476,Novo Horizonte - BA
1477,Novo Horizonte - SP
1478,Novo Oriente - CE
1479,Novo Oriente De Minas - MG
1480,Novo Planalto - GO
1481,Novo Progresso - PA
1482,Novo Repartimento - PA
1483,Novorizonte - MG
1484,Novo Sao Joaquim - MT
1485,Obidos - PA
1486,Ocara - CE
1487,Ocaucu - SP
1488,Oeiras - PI
1489,Olimpia - SP
1490,Olinda Nova Do Maranhao - MA
1491,Olindina - BA
1492,Oliveira - MG
1493,Oliveira De Fatima - TO
1494,Oliveira Dos Brejinhos - BA
1495,Onda Verde - SP
1496,Orindiuva - SP
1497,Oriximina - PA
1498,Orizania - MG
1499,Orizona - GO
1500,Orlandia - SP
1501,Orleans - SC
1502,Oroco - PE
1503,Oros - CE
1504,Ortigueira - PR
1505,Osasco - SP
1506,Osorio - RS
1507,Osvaldo Cruz - SP
1508,Otacilio Costa - SC
1509,Ourem - PA
1510,Ouricuri - PE
1511,Ourilandia Do Norte - PA
1512,Ourinhos - SP
1513,Ouro Branco - MG
1514,Ouroeste - SP
1515,Ouro Fino - MG
1516,Ouro Preto - MG
1517,Ouro Preto Do Oeste - RO
1518,Ouro Velho - PB
1519,Ouro Verde De Minas - MG
1520,Ouvidor - GO
1521,Pacaembu - SP
1522,Pacaja - PA
1523,Pacajus - CE
1524,Pacaraima - RR
1525,Pacatuba - CE
1526,Pacoti - CE
1527,Pacuja - CE
1528,Padre Carvalho - MG
1529,Padre Paraiso - MG
1530,Paicandu - PR
1531,Palestina - SP
1532,Palestina De Goias - GO
1533,Palhoca - SC
1534,Palma - MG
1535,Palmares - PE
1536,Palmares Do Sul - RS
1537,Palmas - PR
1538,Palmas - TO
1539,Palmeira - PR
1540,Palmeira - SC
1541,Palmeira Das Missoes - RS
1542,Palmeira Dos Indios - AL
1543,Palmeiras - BA
1544,Palmeiras De Goias - GO
1545,Palmeiras Do Tocantins - TO
1546,Palmeiropolis - TO
1547,Palmelo - GO
1548,Palmital - PR
1549,Palmital - SP
1550,Palmitinho - RS
1551,Palmitos - SC
1552,Palotina - PR
1553,Panambi - RS
1554,Pancas - ES
1555,Panelas - PE
1556,Panorama - SP
1557,Pantano Grande - RS
1558,Papanduva - SC
1559,Paracambi - RJ
1560,Paracatu - MG
1561,Paracuru - CE
1562,Para De Minas - MG
1563,Paragominas - PA
1564,Paraguacu - MG
1565,Paraguacu Paulista - SP
1566,Paraiba Do Sul - RJ
1567,Paraibano - MA
1568,Paraipaba - CE
1569,Paraiso Das Aguas - MS
1570,Paraiso Do Norte - PR
1571,Paraiso Do Tocantins - TO
1572,Paraisopolis - MG
1573,Parambu - CE
1574,Paramirim - BA
1575,Parana - TO
1576,Paranacity - PR
1577,Paranagua - PR
1578,Paranaiba - MS
1579,Paranaiguara - GO
1580,Paranapanema - SP
1581,Paranapoema - PR
1582,Paranapua - SP
1583,Paranatinga - MT
1584,Paranavai - PR
1585,Paranhos - MS
1586,Paraopeba - MG
1587,Parapua - SP
1588,Paraty - RJ
1589,Parauapebas - PA
1590,Parauna - GO
1591,Parnaiba - PI
1592,Parnamirim - PE
1593,Parobe - RS
1594,Passabem - MG
1595,Passa E Fica - RN
1596,Passa Quatro - MG
1597,Passa Tempo - MG
1598,Passo Fundo - RS
1599,Passos - MG
1600,Pastos Bons - MA
1601,Pato Bragado - PR
1602,Pato Branco - PR
1603,Patos - PB
1604,Patos De Minas - MG
1605,Patrocinio - MG
1606,Patrocinio Do Muriae - MG
1607,Patrocinio Paulista - SP
1608,Patu - RN
1609,Paty Do Alferes - RJ
1610,Paudalho - PE
1611,Pau Dos Ferros - RN
1612,Pauliceia - SP
1613,Paulinia - SP
1614,Paulino Neves - MA
1615,Paulista - PE
1616,Paulistana - PI
1617,Paulo Afonso - BA
1618,Paulo Lopes - SC
1619,Peabiru - PR
1620,Pecanha - MG
1621,Pederneiras - SP
1622,Pedra - PE
1623,Pedra Azul - MG
1624,Pedra Branca - CE
1625,Pedra Do Indaia - MG
1626,Pedra Lavrada - PB
1627,Pedralva - MG
1628,Pedra Preta - MT
1629,Pedra Preta - RN
1630,Pedregulho - SP
1631,Pedreira - SP
1632,Pedreiras - MA
1633,Pedro Afonso - TO
1634,Pedro Canario - ES
1635,Pedro Gomes - MS
1636,Pedro Ii - PI
1637,Pedro Leopoldo - MG
1638,Peixe - TO
1639,Peixoto De Azevedo - MT
1640,Pelotas - RS
1641,Penaforte - CE
1642,Penapolis - SP
1643,Penedo - AL
1644,Penha - SC
1645,Pentecoste - CE
1646,Pequizeiro - TO
1647,Perdigao - MG
1648,Perdoes - MG
1649,Pereira Barreto - SP
1650,Pereiras - SP
1651,Pereiro - CE
1652,Periquito - MG
1653,Peritiba - SC
1654,Peritoro - MA
1655,Perobal - PR
1656,Perola - PR
1657,Perola D'Oeste - PR
1658,Peruibe - SP
1659,Pesqueira - PE
1660,Petrolandia - PE
1661,Petrolandia - SC
1662,Petrolina - PE
1663,Petrolina De Goias - GO
1664,Petropolis - RJ
1665,Pianco - PB
1666,Piau - MG
1667,Picos - PI
1668,Picui - PB
1669,Piedade - SP
1670,Pilar De Goias - GO
1671,Pilar Do Sul - SP
1672,Piloes - PB
1673,Piloezinhos - PB
1674,Pimenta - MG
1675,Pimenta Bueno - RO
1676,Pindamonhangaba - SP
1677,Pindare-Mirim - MA
1678,Pindobacu - BA
1679,Pindorama - SP
1680,Pindoretama - CE
1681,Pinhalao - PR
1682,Pinhalzinho - SC
1683,Pinhalzinho - SP
1684,Pinhao - PR
1685,Pinheiral - RJ
1686,Pinheiro - MA
1687,Pinheiro Preto - SC
1688,Pinheiros - ES
1689,Pintopolis - MG
1690,Pio Ix - PI
1691,Piquerobi - SP
1692,Piquet Carneiro - CE
1693,Piquete - SP
1694,Piracaia - SP
1695,Piracanjuba - GO
1696,Piracicaba - SP
1697,Piracuruca - PI
1698,Pirai - RJ
1699,Pirai Do Norte - BA
1700,Pirai Do Sul - PR
1701,Piraju - SP
1702,Piranga - MG
1703,Piranguinho - MG
1704,Piranhas - GO
1705,Pirapetinga - MG
1706,Pirapora - MG
1707,Pirapozinho - SP
1708,Pirassununga - SP
1709,Piratuba - SC
1710,Pirauba - MG
1711,Pirenopolis - GO
1712,Pires Do Rio - GO
1713,Pires Ferreira - CE
1714,Piripiri - PI
1715,Piritiba - BA
1716,Pirpirituba - PB
1717,Pitanga - PR
1718,Pitangueiras - SP
1719,Pitangui - MG
1720,Piuma - ES
1721,Piumhi - MG
1722,Placas - PA
1723,Planaltina - GO
1724,Planalto - PR
1725,Planalto - SP
1726,Planalto Alegre - SC
1727,Planura - MG
1728,Pocinhos - PB
1729,Pocoes - BA
1730,Pocone - MT
1731,Pocos De Caldas - MG
1732,Pocrane - MG
1733,Pojuca - BA
1734,Pombal - PB
1735,Pomerode - SC
1736,Pompeia - SP
1737,Pompeu - MG
1738,Ponta Grossa - PR
1739,Pontal - SP
1740,Pontal Do Parana - PR
1741,Pontalina - GO
1742,Pontao - RS
1743,Ponta Pora - MS
1744,Ponte Alta - SC
1745,Ponte Nova - MG
1746,Pontes E Lacerda - MT
1747,Ponte Serrada - SC
1748,Ponto Novo - BA
1749,Poranga - CE
1750,Porangaba - SP
1751,Porangatu - GO
1752,Porecatu - PR
1753,Portalegre - RN
1754,Portel - PA
1755,Porto - PI
1756,Porto Alegre - RS
1757,Porto Alegre Do Norte - MT
1758,Porto Belo - SC
1759,Porto Feliz - SP
1760,Porto Ferreira - SP
1761,Porto Firme - MG
1762,Porto Franco - MA
1763,Porto Nacional - TO
1764,Porto Seguro - BA
1765,Porto Uniao - SC
1766,Porto Velho - RO
1767,Posse - GO
1768,Pouso Alegre - MG
1769,Pouso Redondo - SC
1770,Prado - BA
1771,Prados - MG
1772,Praia Grande - SP
1773,Prata - MG
1774,Prata - PB
1775,Pratinha - MG
1776,Presidente Dutra - MA
1777,Presidente Epitacio - SP
1778,Presidente Figueiredo - AM
1779,Presidente Juscelino - MG
1780,Presidente Kennedy - ES
1781,Presidente Kennedy - TO
1782,Presidente Medici - RO
1783,Presidente Olegario - MG
1784,Presidente Prudente - SP
1785,Presidente Venceslau - SP
1786,Primavera Do Leste - MT
1787,Princesa Isabel - PB
1788,Professor Jamil - GO
1789,Promissao - SP
1790,Propria - SE
1791,Prudente De Morais - MG
1792,Prudentopolis - PR
1793,Quata - SP
1794,Quatigua - PR
1795,Quatro Barras - PR
1796,Quedas Do Iguacu - PR
1797,Queimadas - PB
1798,Queluz - SP
1799,Querencia - MT
1800,Querencia Do Norte - PR
1801,Quilombo - SC
1802,Quinta Do Sol - PR
1803,Quintana - SP
1804,Quipapa - PE
1805,Quirinopolis - GO
1806,Quissama - RJ
1807,Quitandinha - PR
1808,Quiterianopolis - CE
1809,Quixada - CE
1810,Quixeramobim - CE
1811,Quixere - CE
1812,Rafael Jambeiro - BA
1813,Rancharia - SP
1814,Rancho Alegre - PR
1815,Rancho Queimado - SC
1816,Raul Soares - MG
1817,Realeza - PR
1818,Reboucas - PR
1819,Recife - PE
1820,Recreio - MG
1821,Redencao - PA
1822,Redencao Do Gurgueia - PI
1823,Regeneracao - PI
1824,Regente Feijo - SP
1825,Reginopolis - SP
1826,Registro - SP
1827,Remigio - PB
1828,Reriutaba - CE
1829,Resende - RJ
1830,Reserva - PR
1831,Resplendor - MG
1832,Ressaquinha - MG
1833,Restinga Seca - RS
1834,Riachao - MA
1835,Riachao - PB
1836,Riachao Das Neves - BA
1837,Riachao Do Jacuipe - BA
1838,Riachinho - MG
1839,Riachinho - TO
1840,Riachuelo - RN
1841,Rialma - GO
1842,Rianapolis - GO
1843,Ribas Do Rio Pardo - MS
1844,Ribeira Do Pombal - BA
1845,Ribeirao Bonito - SP
1846,Ribeirao Cascalheira - MT
1847,Ribeirao Claro - PR
1848,Ribeirao Das Neves - MG
1849,Ribeirao Do Largo - BA
1850,Ribeirao Do Pinhal - PR
1851,Ribeirao Dos Indios - SP
1852,Ribeirao Pires - SP
1853,Ribeirao Preto - SP
1854,Rincao - SP
1855,Rinopolis - SP
1856,Rio Azul - PR
1857,Rio Bananal - ES
1858,Rio Bonito - RJ
1859,Rio Branco - AC
1860,Rio Branco - MT
1861,Rio Brilhante - MS
1862,Rio Casca - MG
1863,Rio Claro - SP
1864,Rio Das Antas - SC
1865,Rio Das Ostras - RJ
1866,Rio De Janeiro - RJ
1867,Rio Do Oeste - SC
1868,Rio Dos Bois - TO
1869,Rio Do Sul - SC
1870,Rio Formoso - PE
1871,Rio Grande - RS
1872,Riolandia - SP
1873,Rio Manso - MG
1874,Rio Maria - PA
1875,Rio Negrinho - SC
1876,Rio Negro - PR
1877,Rio Novo - MG
1878,Rio Novo Do Sul - ES
1879,Rio Paranaiba - MG
1880,Rio Pomba - MG
1881,Rio Preto Da Eva - AM
1882,Rio Quente - GO
1883,Rio Tinto - PB
1884,Rio Verde - GO
1885,Rio Vermelho - MG
1886,Riqueza - SC
1887,Ritapolis - MG
1888,Rochedo - MS
1889,Rolandia - PR
1890,Rolim De Moura - RO
1891,Romelandia - SC
1892,Roncador - PR
1893,Ronda Alta - RS
1894,Rondinha - RS
1895,Rondon - PR
1896,Rondon Do Para - PA
1897,Rondonopolis - MT
1898,Rorainopolis - RR
1899,Rosana - SP
1900,Rosario - MA
1901,Rosario Do Sul - RS
1902,Rosario Oeste - MT
1903,Roseira - SP
1904,Rubiataba - GO
1905,Ruropolis - PA
1906,Russas - CE
1907,Ruy Barbosa - BA
1908,Sabinopolis - MG
1909,Saboeiro - CE
1910,Sagres - SP
1911,Saldanha Marinho - RS
1912,Salgado - SE
1913,Salgueiro - PE
1914,Salinas - MG
1915,Salitre - CE
1916,Saltinho - SP
1917,Salto - SP
1918,Salto Do Lontra - PR
1919,Salto Grande - SP
1920,Salvador - BA
1921,Sambaiba - MA
1922,Sananduva - RS
1923,Sanclerlandia - GO
1924,Sanharo - PE
1925,Santa Adelia - SP
1926,Santa Barbara - MG
1927,Santa Barbara De Goias - GO
1928,Santa Barbara D'Oeste - SP
1929,Santa Barbara Do Tugurio - MG
1930,Santa Cecilia - SC
1931,Santa Cecilia Do Pavao - PR
1932,Santa Cruz - PE
1933,Santa Cruz Da Esperanca - SP
1934,Santa Cruz Das Palmeiras - SP
1935,Santa Cruz De Goias - GO
1936,Santa Cruz De Salinas - MG
1937,Santa Cruz Do Capibaribe - PE
1938,Santa Cruz Do Rio Pardo - SP
1939,Santa Cruz Do Sul - RS
1940,Santa Efigenia De Minas - MG
1941,Santa Ernestina - SP
1942,Santa Fe De Goias - GO
1943,Santa Fe Do Sul - SP
1944,Santa Gertrudes - SP
1945,Santa Helena - PR
1946,Santa Helena - SC
1947,Santa Helena De Goias - GO
1948,Santa Ines - BA
1949,Santa Ines - MA
1950,Santa Isabel Do Ivai - PR
1951,Santa Juliana - MG
1952,Santa Leopoldina - ES
1953,Santa Luzia - MA
1954,Santa Luzia - MG
1955,Santa Luzia - PB
1956,Santa Luzia Do Parua - MA
1957,Santa Margarida - MG
1958,Santa Maria - RN
1959,Santa Maria - RS
1960,Santa Maria Da Vitoria - BA
1961,Santa Maria De Jetiba - ES
1962,Santa Maria Do Para - PA
1963,Santa Maria Madalena - RJ
1964,Santa Mercedes - SP
1965,Santana - BA
1966,Santana Do Araguaia - PA
1967,Santana Do Ipanema - AL
1968,Santana Do Itarare - PR
1969,Santana Do Riacho - MG
1970,Santa Quiteria - CE
1971,Santarem - PA
1972,Santa Rita - MA
1973,Santa Rita - PB
1974,Santa Rita De Cassia - BA
1975,Santa Rita Do Araguaia - GO
1976,Santa Rita Do Passa Quatro - SP
1977,Santa Rita Do Sapucai - MG
1978,Santa Rita Do Tocantins - TO
1979,Santa Rosa - RS
1980,Santa Rosa De Viterbo - SP
1981,Santa Rosa Do Sul - SC
1982,Santa Tereza De Goias - GO
1983,Santa Tereza Do Oeste - PR
1984,Santa Terezinha - SC
1985,Santa Terezinha De Goias - GO
1986,Santa Terezinha De Itaipu - PR
1987,Santa Vitoria - MG
1988,Santiago - RS
1989,Santo Amaro Da Imperatriz - SC
1990,Santo Anastacio - SP
1991,Santo Andre - SP
1992,Santo Angelo - RS
1993,Santo Antonio Da Barra - GO
1994,Santo Antonio Da Patrulha - RS
1995,Santo Antonio Da Platina - PR
1996,Santo Antonio De Jesus - BA
1997,Santo Antonio De Padua - RJ
1998,Santo Antonio De Posse - SP
1999,Santo Antonio Do Amparo - MG
2000,Santo Antonio Do Caiua - PR
2001,Santo Antonio Do Monte - MG
2002,Santo Antonio Do Pinhal - SP
2003,Santo Antonio Do Rio Abaixo - MG
2004,Santo Antonio Dos Lopes - MA
2005,Santo Antonio Do Sudoeste - PR
2006,Santo Estevao - BA
2007,Santo Inacio - PR
2008,Santopolis Do Aguapei - SP
2009,Santos - SP
2010,Santos Dumont - MG
2011,Sao Benedito - CE
2012,Sao Benedito Do Rio Preto - MA
2013,Sao Bentinho - PB
2014,Sao Bento - MA
2015,Sao Bento Do Sapucai - SP
2016,Sao Bento Do Sul - SC
2017,Sao Bernardo - MA
2018,Sao Bernardo Do Campo - SP
2019,Sao Borja - RS
2020,Sao Caetano Do Sul - SP
2021,Sao Carlos - SP
2022,Sao Cristovao - SE
2023,Sao Desiderio - BA
2024,Sao Domingos - BA
2025,Sao Domingos - GO
2026,Sao Domingos Do Araguaia - PA
2027,Sao Domingos Do Azeitao - MA
2028,Sao Domingos Do Maranhao - MA
2029,Sao Felix - BA
2030,Sao Felix Do Araguaia - MT
2031,Sao Fidelis - RJ
2032,Sao Francisco - MG
2033,Sao Francisco De Itabapoana - RJ
2034,Sao Francisco Do Gloria - MG
2035,Sao Francisco Do Guapore - RO
2036,Sao Francisco Do Sul - SC
2037,Sao Gabriel Da Palha - ES
2038,Sao Gabriel Do Oeste - MS
2039,Sao Geraldo - MG
2040,Sao Geraldo Da Piedade - MG
2041,Sao Geraldo Do Araguaia - PA
2042,Sao Goncalo - RJ
2043,Sao Goncalo Do Amarante - CE
2044,Sao Goncalo Do Gurgueia - PI
2045,Sao Goncalo Do Para - MG
2046,Sao Goncalo Do Sapucai - MG
2047,Sao Gotardo - MG
2048,Sao Jeronimo Da Serra - PR
2049,Sao Joao - PE
2050,Sao Joao - PR
2051,Sao Joao Batista - SC
2052,Sao Joao Da Baliza - RR
2053,Sao Joao Da Boa Vista - SP
2054,Sao Joao Del Rei - MG
2055,Sao Joao De Meriti - RJ
2056,Sao Joao Do Caiua - PR
2057,Sao Joao Do Cariri - PB
2058,Sao Joao Do Ivai - PR
2059,Sao Joao Do Jaguaribe - CE
2060,Sao Joao Do Paraiso - MG
2061,Sao Joao Do Piaui - PI
2062,Sao Joao Do Rio Do Peixe - PB
2063,Sao Joao Dos Patos - MA
2064,Sao Joao Do Triunfo - PR
2065,Sao Joao Evangelista - MG
2066,Sao Joao Nepomuceno - MG
2067,Sao Joaquim - SC
2068,Sao Joaquim Da Barra - SP
2069,Sao Jorge Do Patrocinio - PR
2070,Sao Jose - SC
2071,Sao Jose Da Boa Vista - PR
2072,Sao Jose Da Coroa Grande - PE
2073,Sao Jose Da Safira - MG
2074,Sao Jose De Piranhas - PB
2075,Sao Jose Do Alegre - MG
2076,Sao Jose Do Belmonte - PE
2077,Sao Jose Do Calcado - ES
2078,Sao Jose Do Cedro - SC
2079,Sao Jose Do Cerrito - SC
2080,Sao Jose Do Egito - PE
2081,Sao Jose Do Goiabal - MG
2082,Sao Jose Do Jacuri - MG
2083,Sao Jose Do Norte - RS
2084,Sao Jose Do Ouro - RS
2085,Sao Jose Do Rio Claro - MT
2086,Sao Jose Do Rio Pardo - SP
2087,Sao Jose Do Rio Preto - SP
2088,Sao Jose Dos Ausentes - RS
2089,Sao Jose Dos Campos - SP
2090,Sao Jose Dos Cordeiros - PB
2091,Sao Jose Dos Pinhais - PR
2092,Sao Jose Do Vale Do Rio Preto - RJ
2093,Sao Jose Do Xingu - MT
2094,Sao Leopoldo - RS
2095,Sao Lourenco - MG
2096,Sao Lourenco Do Oeste - SC
2097,Sao Ludgero - SC
2098,Sao Luis - MA
2099,Sao Luis De Montes Belos - GO
2100,Sao Luis Do Curu - CE
2101,Sao Luiz - RR
2102,Sao Luiz Do Norte - GO
2103,Sao Luiz Do Paraitinga - SP
2104,Sao Luiz Gonzaga - RS
2105,Sao Mamede - PB
2106,Sao Manoel Do Parana - PR
2107,Sao Manuel - SP
2108,Sao Marcos - RS
2109,Sao Martinho - SC
2110,Sao Mateus - ES
2111,Sao Mateus Do Sul - PR
2112,Sao Miguel Do Araguaia - GO
2113,Sao Miguel Do Guama - PA
2114,Sao Miguel Do Guapore - RO
2115,Sao Miguel Do Iguacu - PR
2116,Sao Miguel Do Oeste - SC
2117,Sao Miguel Do Passa Quatro - GO
2118,Sao Miguel Dos Campos - AL
2119,Sao Paulo - SP
2120,Sao Pedro - SP
2121,Sao Pedro Da Aldeia - RJ
2122,Sao Pedro Da Cipa - MT
2123,Sao Pedro Do Iguacu - PR
2124,Sao Pedro Do Ivai - PR
2125,Sao Pedro Do Piaui - PI
2126,Sao Pedro Dos Ferros - MG
2127,Sao Pedro Do Suacui - MG
