,cidade
396,campo-mourao
397,campo-novo-do-parecis
398,campos-altos
399,campos-belos
400,campos-de-julio
401,campos-do-jordao
402,campos-dos-goytacazes
403,campos-gerais
404,campos-novos
405,campos-sales
406,campo-verde
407,canaa-dos-carajas
408,canabrava-do-norte
409,canapolis
410,canarana
411,canarana
412,canavieira
413,canavieiras
414,candeias
415,candido-mota
416,candido-sales
417,candoi
418,canela
419,canelinha
420,canhotinho
421,caninde
422,canitar
423,canoas
424,canoinhas
425,cantagalo
426,cantagalo
427,canto-do-buriti
428,canudos
429,capanema
430,capanema
431,capao-bonito
432,capao-da-canoa
433,capelinha
434,capetinga
435,capim-grosso
436,capinopolis
437,capinzal
438,capinzal-do-norte
439,capitao-andrade
440,capitao-de-campos
441,capitao-leonidas-marques
442,capitolio
443,capivari
444,caracarai
445,caracol
446,caraguatatuba
447,carangola
448,caratinga
449,caraubas
450,carazinho
451,carbonita
452,cardoso
453,cariacica
454,carlopolis
455,carlos-barbosa
456,carlos-chagas
457,carmesia
458,carmo-da-mata
459,carmo-de-minas
460,carmo-do-cajuru
461,carmo-do-paranaiba
462,carmo-do-rio-claro
463,carmopolis-de-minas
464,carnaiba
465,caroebe
466,carolina
467,carrapateira
468,caruaru
469,carvalhos
470,casa-branca
473,casserengue
474,cassia
475,cassilandia
476,castanhal
477,castanheira
478,castelandia
479,castelo
480,castro
481,cataguases
482,catalao
484,catanduvas
485,catas-altas
486,caturite
487,caucaia
488,caxambu
489,caxias
490,caxias-do-sul
491,cedro
492,central
493,centralina
494,cerejeiras
495,ceres
496,cerqueira-cesar
497,cerquilho
498,cerro-azul
499,cesario-lange
500,ceu-azul
501,chapada-dos-guimaraes
502,chapada-gaucha
503,chapadao-do-ceu
504,chapadao-do-sul
505,chapeco
506,chavantes
507,chaves
508,chopinzinho
509,chorrocho
510,cianorte
511,cidreira
512,claudio
513,clevelandia
514,cocalinho
515,cocalzinho-de-goias
516,cocos
517,codo
518,coimbra
519,colatina
520,colider
521,colina
522,colinas
523,colinas-do-tocantins
524,colmeia
525,colniza
526,colombia
527,colonia-do-gurgueia
528,colorado
529,coluna
530,comendador-gomes
531,comendador-levy-gasparian
532,comodoro
533,conceicao
534,conceicao-das-pedras
535,conceicao-do-araguaia
536,conchal
537,conchas
538,concordia
539,confresa
540,congo
541,congonhas
542,congonhinhas
543,conselheiro-lafaiete
544,conselheiro-pena
546,contenda
547,contendas-do-sincora
548,coqueiral
549,corbelia
550,cordeiropolis
551,cordisburgo
552,coribe
553,corinto
554,cornelio-procopio
555,coroaci
556,coromandel
557,coronel-fabriciano
558,coronel-macedo
559,coronel-pacheco
560,coronel-sapucaia
562,corrego-do-ouro
563,corrente
564,correntina
566,corumba-de-goias
567,corumbaiba
568,corupa
569,coruripe
570,cosmopolis
571,cosmorama
572,costa-marques
573,costa-rica
574,cotia
575,coxim
576,crateus
577,crato
578,cravinhos
579,criciuma
580,cristalandia-do-piaui
581,cristalina
582,cristiano-otoni
583,cristianopolis
584,cristino-castro
585,cristopolis
586,crixas
587,crucilandia
588,cruz
589,cruz-alta
590,cruz-das-almas
591,cruz-do-espirito-santo
592,cruzeiro
593,cruzeiro-do-oeste
594,cruz-machado
595,cubatao
596,cuiaba
597,cuite
598,cuitegi
599,cujubim
600,cunha
601,cunha-pora
602,cuparaque
603,cupira
604,curimata
605,curionopolis
606,curitiba
607,curitibanos
608,curiuva
609,curuca
610,curvelo
611,custodia
612,damiao
613,darcinopolis
614,datas
615,davinopolis
616,delmiro-gouveia
617,demerval-lobao
618,denise
619,deputado-irapuan-pinheiro
620,descalvado
621,desterro
622,diadema
623,diamantina
624,diamantino
625,dianopolis
626,dionisio-cerqueira
627,divino
628,divinolandia-de-minas
629,divinopolis
630,divinopolis-do-tocantins
631,dois-corregos
632,dois-vizinhos
633,dom-aquino
634,dom-cavati
635,dom-eliseu
636,domingos-martins
637,dom-pedrito
638,dom-pedro
639,dona-ines
640,dores-de-campos
641,dores-do-indaia
642,dourados
643,doutor-camargo
644,doutor-ulysses
645,doverlandia
646,dracena
647,duque-de-caxias
648,ecoporanga
649,edealina
650,edeia
651,eldorado
652,eldorado-do-sul
653,elesbao-veloso
654,eliseu-martins
655,embu-das-artes
656,encantado
657,eneas-marques
658,engenheiro-beltrao
659,engenheiro-paulo-de-frontin
660,entre-rios
661,erechim
662,erere
663,ermo
664,ervalia
665,esperanca
666,espirito-santo-do-pinhal
667,espirito-santo-do-turvo
668,esplanada
669,estancia
670,estreito
671,estrela
672,estrela-do-sul
673,euclides-da-cunha
674,eugenopolis
675,eunapolis
676,eusebio
677,ewbank-da-camara
678,extrema
679,faina
680,fama
681,faro
682,farroupilha
683,fartura
684,fatima
685,fatima-do-sul
686,faxinal
687,faxinal-dos-guedes
688,fazenda-nova
690,feira-de-santana
691,feliz
692,fenix
693,fernandopolis
694,ferros
